University,City,State,White,Hispanic/Latino,Black African American,Two or more races,Asian,Race Ethnicity Unknown,Non-Resident Alien,American Indian/Alaskan Native,Native Hawaiian/Pacific Islander
Berkshire Community College,Pittsfield,MA,78.0%,9.0%,7.0%,2.0%,2.0%,2.0%,,,
Berklee College of Music,Boston,MA,37.0%,9.0%,5.0%,3.0%,4.0%,12.0%,30.0%,,
Bay State College,Boston,MA,44.0%,16.0%,19.0%,6.0%,4.0%,8.0%,2.0%,,
Bunker Hill Community College,Boston,MA,22.0%,23.0%,24.0%,3.0%,10.0%,10.0%,6.0%,,
Concordia University,Portland,OR,64.0%,6.0%,5.0%,7.0%,5.0%,8.0%,2.0%,,1.0%
Miles Community College,Miles City,MT,86.0%,3.0%,2.0%,,2.0%,,4.0%,3.0%,
California State Polytechnic University: Pomona,Pomona,CA,18.0%,42.0%,3.0%,4.0%,23.0%,4.0%,6.0%,,
Cerritos College,Norwalk,CA,10.0%,61.0%,8.0%,2.0%,10.0%,7.0%,2.0%,,
Cabrillo College,Aptos,CA,50.0%,37.0%,1.0%,5.0%,3.0%,2.0%,,,
Dutchess Community College,Poughkeepsie,NY,60.0%,18.0%,11.0%,4.0%,3.0%,3.0%,,,
Cambria-Rowe Business College,Johnstown,PA,87.0%,,10.0%,3.0%,,,,,
Erie Community College: South Campus,Orchard Park,NY,88.0%,3.0%,6.0%,,,,,1.0%,
Erie Community College,Buffalo,NY,58.0%,6.0%,16.0%,2.0%,4.0%,10.0%,3.0%,,
SUNY Empire State College,Saratoga Springs,NY,60.0%,13.0%,16.0%,2.0%,2.0%,5.0%,1.0%,,
Eastern University,St. Davids,PA,49.0%,20.0%,21.0%,1.0%,2.0%,5.0%,2.0%,,
Eastman School of Music of the University of Rochester,Rochester,NY,58.0%,,2.0%,7.0%,8.0%,8.0%,18.0%,,
Elizabethtown College,Elizabethtown,PA,85.0%,4.0%,3.0%,2.0%,3.0%,,3.0%,,
Elmira College,Elmira,NY,78.0%,4.0%,5.0%,2.0%,2.0%,4.0%,5.0%,,
Xavier University,Cincinnati,OH,72.0%,5.0%,9.0%,4.0%,3.0%,4.0%,2.0%,,
Union Institute & University,Cincinnati,OH,35.0%,25.0%,19.0%,3.0%,,18.0%,,,
Youngstown State University,Youngstown,OH,76.0%,4.0%,10.0%,3.0%,1.0%,4.0%,2.0%,,
Shippensburg University of Pennsylvania,Shippensburg,PA,77.0%,5.0%,11.0%,3.0%,2.0%,1.0%,,,
Humboldt State University,Arcata,CA,43.0%,35.0%,3.0%,7.0%,3.0%,6.0%,1.0%,1.0%,
Stockton University,Galloway,NJ,70.0%,12.0%,7.0%,2.0%,6.0%,2.0%,,,
Franklin W. Olin College of Engineering,Needham,MA,54.0%,6.0%,,7.0%,14.0%,10.0%,8.0%,,
Saginaw Valley State University,University Center,MI,72.0%,4.0%,9.0%,2.0%,,5.0%,6.0%,,
Southeast Kentucky Community and Technical College,Cumberland,KY,86.0%,,3.0%,1.0%,,8.0%,,,
Calumet College of St. Joseph,Whiting,IN,39.0%,29.0%,27.0%,,,,,3.0%,
Southeastern Illinois College,Harrisburg,IL,87.0%,2.0%,4.0%,,,5.0%,,,
Tennessee Wesleyan College,Athens,TN,50.0%,1.0%,4.0%,2.0%,,43.0%,,,
South Suburban College of Cook County,South Holland,IL,17.0%,18.0%,60.0%,2.0%,,1.0%,,1.0%,
Gordon State College,Barnesville,GA,55.0%,3.0%,37.0%,3.0%,,,,,
Goucher College,Baltimore,MD,62.0%,6.0%,13.0%,6.0%,4.0%,5.0%,3.0%,,
Guilford College,Greensboro,NC,62.0%,7.0%,22.0%,3.0%,3.0%,,2.0%,,
Granite State College,Concord,NH,84.0%,4.0%,3.0%,2.0%,1.0%,7.0%,,,
Fond du Lac Tribal and Community College,Cloquet,MN,65.0%,1.0%,9.0%,,,2.0%,,23.0%,
College of the Siskiyous,Weed,CA,47.0%,27.0%,4.0%,7.0%,2.0%,10.0%,,2.0%,
California Lutheran University,Thousand Oaks,CA,48.0%,29.0%,3.0%,7.0%,5.0%,4.0%,3.0%,,
Curtis Institute of Music,Philadelphia,PA,33.0%,1.0%,4.0%,1.0%,13.0%,,47.0%,,
Carlos Albizu University,Miami,FL,2.0%,91.0%,2.0%,,,3.0%,2.0%,,
Corning Community College,Corning,NY,83.0%,4.0%,6.0%,3.0%,,3.0%,,,
Columbia University: Fu Foundation School of Engineering and Applied Science,New York,NY,47.0%,11.0%,10.0%,,21.0%,,10.0%,,
City University of New York: John Jay College of Criminal Justice,New York,NY,23.0%,43.0%,19.0%,,12.0%,,3.0%,,
Columbia University,New York,NY,34.0%,12.0%,12.0%,,22.0%,4.0%,14.0%,2.0%,
Camden County College,Blackwood,NJ,50.0%,14.0%,22.0%,,5.0%,5.0%,2.0%,1.0%,
Community College of Allegheny County,Pittsburgh,PA,59.0%,1.0%,18.0%,1.0%,3.0%,17.0%,,,
County College of Morris,Randolph,NJ,59.0%,21.0%,5.0%,2.0%,6.0%,7.0%,,,
"Penn State Erie, The Behrend College",Erie,PA,78.0%,3.0%,3.0%,2.0%,4.0%,1.0%,9.0%,,
Southern California Institute of Technology,Anaheim,CA,22.0%,50.0%,6.0%,2.0%,17.0%,,,,2.0%
Cleveland State Community College,Cleveland,TN,81.0%,7.0%,4.0%,2.0%,1.0%,4.0%,,,
College of Lake County,Grayslake,IL,48.0%,30.0%,8.0%,2.0%,5.0%,5.0%,1.0%,,
Cincinnati State Technical and Community College,Cincinnati,OH,59.0%,2.0%,25.0%,3.0%,2.0%,6.0%,2.0%,,
St. Cloud Technical and Community College,St Cloud,MN,83.0%,4.0%,7.0%,3.0%,1.0%,,,,
University of Wisconsin-Sheboygan,Sheboygan,WI,83.0%,2.0%,2.0%,,11.0%,,,,
University of Washington,Seattle,WA,41.0%,8.0%,3.0%,7.0%,25.0%,1.0%,15.0%,,
University of Wyoming,Laramie,WY,73.0%,7.0%,1.0%,3.0%,1.0%,9.0%,4.0%,,
Utah State University,Logan,UT,82.0%,6.0%,,2.0%,1.0%,4.0%,1.0%,2.0%,
University of California: Irvine,Irvine,CA,14.0%,26.0%,2.0%,4.0%,36.0%,2.0%,16.0%,,
Tougaloo College,Tougaloo,MS,,,99.0%,,,,,,
Transylvania University,Lexington,KY,79.0%,6.0%,4.0%,3.0%,1.0%,2.0%,4.0%,,
Trevecca Nazarene University,Nashville,TN,61.0%,13.0%,13.0%,2.0%,1.0%,6.0%,2.0%,,
Trinity International University,Deerfield,IL,54.0%,8.0%,15.0%,4.0%,3.0%,14.0%,2.0%,,
Trine University,Angola,IN,76.0%,8.0%,3.0%,3.0%,2.0%,2.0%,6.0%,,
Tusculum College,Greeneville,TN,72.0%,3.0%,15.0%,2.0%,,4.0%,4.0%,,
Tuskegee University,Tuskegee,AL,,,78.0%,,,21.0%,,,
Kent State University: East Liverpool,East Liverpool,OH,85.0%,2.0%,5.0%,3.0%,,3.0%,,,
Tiffin University,Tiffin,OH,43.0%,4.0%,13.0%,1.0%,,25.0%,13.0%,,
Minnesota State College - Southeast Technical,Winona,MN,86.0%,4.0%,5.0%,2.0%,2.0%,,,,
Shor Yoshuv Rabbinical College,Lawrence,NY,100.0%,,,,,,,,
Triangle Tech: DuBois,Falls Creek,PA,93.0%,5.0%,,1.0%,,,,,
Pepperdine University,Malibu,CA,48.0%,14.0%,5.0%,5.0%,11.0%,5.0%,11.0%,,
Prescott College,Prescott,AZ,71.0%,7.0%,1.0%,7.0%,1.0%,8.0%,,4.0%,
Pueblo Community College,Pueblo,CO,57.0%,32.0%,3.0%,4.0%,,,,2.0%,
Prince William Sound Community College,Valdez,AK,54.0%,16.0%,10.0%,,10.0%,,,9.0%,
Rogue Community College,Grants Pass,OR,71.0%,17.0%,,4.0%,2.0%,4.0%,,1.0%,
Reed College,Portland,OR,59.0%,12.0%,2.0%,8.0%,6.0%,4.0%,8.0%,,
Regis University,Denver,CO,58.0%,20.0%,5.0%,4.0%,5.0%,7.0%,1.0%,,
Brigham Young University-Idaho,Rexburg,ID,76.0%,3.0%,,6.0%,1.0%,2.0%,9.0%,,
Rocky Mountain College,Billings,MT,77.0%,6.0%,2.0%,4.0%,,3.0%,4.0%,2.0%,1.0%
Fulton-Montgomery Community College,Johnstown,NY,,13.0%,,3.0%,,4.0%,6.0%,9.0%,65.0%
Wabash College,Crawfordsville,IN,72.0%,8.0%,6.0%,2.0%,1.0%,2.0%,7.0%,,
Wayne State University,Detroit,MI,58.0%,5.0%,17.0%,4.0%,9.0%,4.0%,2.0%,,
Western Illinois University,Macomb,IL,60.0%,12.0%,21.0%,3.0%,,2.0%,2.0%,,
Western Kentucky University,Bowling Green,KY,77.0%,3.0%,10.0%,3.0%,1.0%,,5.0%,,
Western Michigan University,Kalamazoo,MI,71.0%,6.0%,13.0%,4.0%,2.0%,,4.0%,,
Wittenberg University,Springfield,OH,80.0%,3.0%,7.0%,5.0%,1.0%,1.0%,2.0%,,
Walsh University,North Canton,OH,73.0%,3.0%,7.0%,2.0%,,10.0%,4.0%,,
Resurrection University,Chicago,IL,48.0%,11.0%,9.0%,5.0%,15.0%,13.0%,,,
Harper College,Palatine,IL,52.0%,27.0%,4.0%,3.0%,11.0%,2.0%,,,
Lawson State Community College,Birmingham,AL,15.0%,1.0%,75.0%,,,7.0%,,,
Illinois Eastern Community Colleges: Wabash Valley College,Mount Carmel,IL,95.0%,,3.0%,,,,,,
Wayne County Community College,Detroit,MI,20.0%,1.0%,66.0%,5.0%,,6.0%,,,
Waubonsee Community College,Sugar Grove,IL,58.0%,28.0%,7.0%,2.0%,2.0%,3.0%,,,
Faulkner State Community College,Bay Minette,AL,70.0%,3.0%,22.0%,2.0%,1.0%,,,2.0%,
University of California: Santa Cruz,Santa Cruz,CA,32.0%,30.0%,2.0%,8.0%,22.0%,2.0%,4.0%,,
University of Nevada: Las Vegas,Las Vegas,NV,33.0%,28.0%,8.0%,10.0%,16.0%,,4.0%,,1.0%
Salt Lake Community College,Salt Lake City,UT,69.0%,17.0%,2.0%,2.0%,4.0%,2.0%,2.0%,,1.0%
University of Alaska Fairbanks,Fairbanks,AK,43.0%,7.0%,2.0%,4.0%,1.0%,27.0%,1.0%,14.0%,
University of Hawaii at Manoa,Honolulu,HI,19.0%,2.0%,2.0%,16.0%,41.0%,,3.0%,,17.0%
University of Hawaii at Hilo,Hilo,HI,22.0%,13.0%,,31.0%,17.0%,,4.0%,,11.0%
Utah Valley University,Orem,UT,78.0%,11.0%,,3.0%,1.0%,2.0%,2.0%,,
ETI Technical College of Niles,Niles,OH,73.0%,,27.0%,,,,,,
Sanford-Brown Institute: Jacksonville,Jacksonville,FL,45.0%,3.0%,31.0%,2.0%,2.0%,16.0%,,,
University of Colorado Colorado Springs,Colorado Springs,CO,65.0%,17.0%,4.0%,7.0%,3.0%,2.0%,,,
University of Colorado Denver,Denver,CO,51.0%,19.0%,5.0%,5.0%,10.0%,2.0%,8.0%,,
University of Alaska Anchorage,Anchorage,AK,56.0%,8.0%,4.0%,12.0%,8.0%,3.0%,2.0%,6.0%,
University of Alaska Southeast,Juneau,AK,50.0%,5.0%,,,3.0%,23.0%,,16.0%,2.0%
University of Montana: Western,Dillon,MT,85.0%,3.0%,1.0%,,,7.0%,,2.0%,
Western State Colorado University,Gunnison,CO,73.0%,11.0%,3.0%,4.0%,,7.0%,,,
San Jose State University,San Jose,CA,18.0%,26.0%,3.0%,5.0%,36.0%,4.0%,7.0%,,
Santa Monica College,Santa Monica,CA,20.0%,46.0%,10.0%,4.0%,7.0%,,11.0%,,
Scripps College,Claremont,CA,52.0%,11.0%,4.0%,6.0%,15.0%,6.0%,5.0%,,
Anderson University,Anderson,SC,82.0%,3.0%,8.0%,,1.0%,4.0%,,,
Andrew College,Cuthbert,GA,38.0%,7.0%,50.0%,3.0%,,,2.0%,,
Appalachian State University,Boone,NC,84.0%,5.0%,4.0%,3.0%,2.0%,1.0%,,,
Armstrong State University,Savannah,GA,56.0%,8.0%,26.0%,5.0%,4.0%,,1.0%,,
University of North Carolina at Asheville,Asheville,NC,78.0%,6.0%,4.0%,4.0%,2.0%,4.0%,,,
Barton College,Wilson,NC,54.0%,7.0%,22.0%,4.0%,1.0%,7.0%,4.0%,,
Barry University,Miami Shores,FL,19.0%,31.0%,29.0%,2.0%,,9.0%,8.0%,,
Mountain State University,Beckley,WV,67.0%,3.0%,20.0%,1.0%,,4.0%,3.0%,,
Belmont Abbey College,Belmont,NC,45.0%,1.0%,22.0%,,1.0%,28.0%,2.0%,,
Berry College,Mount Berry,GA,81.0%,6.0%,4.0%,3.0%,1.0%,3.0%,,,
Bethany College,Bethany,WV,51.0%,5.0%,18.0%,2.0%,,20.0%,2.0%,,
Catawba College,Salisbury,NC,67.0%,7.0%,19.0%,3.0%,1.0%,,2.0%,,
Southern Illinois University Edwardsville,Edwardsville,IL,73.0%,4.0%,14.0%,3.0%,2.0%,1.0%,1.0%,,
Schoolcraft College,Livonia,MI,66.0%,4.0%,14.0%,3.0%,4.0%,7.0%,1.0%,,
University of Cincinnati,Cincinnati,OH,75.0%,3.0%,7.0%,3.0%,3.0%,4.0%,4.0%,,
University of Illinois at Chicago,Chicago,IL,32.0%,31.0%,8.0%,3.0%,22.0%,,3.0%,,
University of Michigan: Flint,Flint,MI,68.0%,4.0%,14.0%,3.0%,2.0%,3.0%,5.0%,,
University of Alabama in Huntsville,Huntsville,AL,72.0%,4.0%,11.0%,2.0%,4.0%,3.0%,3.0%,1.0%,
University of Alabama at Birmingham,Birmingham,AL,58.0%,3.0%,26.0%,4.0%,6.0%,,2.0%,,
University of Wisconsin-Green Bay,Green Bay,WI,85.0%,4.0%,2.0%,3.0%,3.0%,,1.0%,1.0%,
University of Wisconsin-Parkside,Kenosha,WI,67.0%,14.0%,9.0%,4.0%,3.0%,,1.0%,,
University of Michigan: Dearborn,Dearborn,MI,68.0%,6.0%,9.0%,3.0%,8.0%,3.0%,2.0%,,
Vanderbilt University,Nashville,TN,52.0%,9.0%,9.0%,5.0%,12.0%,5.0%,7.0%,,
VanderCook College of Music,Chicago,IL,58.0%,22.0%,7.0%,5.0%,,5.0%,2.0%,,
Valparaiso University,Valparaiso,IN,72.0%,9.0%,6.0%,3.0%,2.0%,3.0%,5.0%,,
Thomas More College,Crestview Hills,KY,78.0%,3.0%,7.0%,4.0%,,7.0%,,,
Vincennes University,Vincennes,IN,72.0%,8.0%,10.0%,2.0%,,5.0%,,,
University of Valley Forge,Phoenixville,PA,54.0%,18.0%,17.0%,5.0%,1.0%,4.0%,,,
Ozarks Technical Community College,Springfield,MO,62.0%,2.0%,2.0%,,1.0%,32.0%,,,
Western Washington University,Bellingham,WA,73.0%,8.0%,2.0%,9.0%,7.0%,,,,
Westminster College,Salt Lake City,UT,71.0%,10.0%,2.0%,4.0%,3.0%,4.0%,5.0%,,
Johnson & Wales University: Providence,Providence,RI,55.0%,12.0%,13.0%,7.0%,1.0%,4.0%,8.0%,,
Keene State College,Keene,NH,87.0%,4.0%,1.0%,2.0%,1.0%,5.0%,,,
Lasell College,Newton,MA,71.0%,9.0%,5.0%,2.0%,2.0%,4.0%,6.0%,,
Lesley University,Cambridge,MA,71.0%,10.0%,3.0%,4.0%,4.0%,6.0%,2.0%,,
Maine Maritime Academy,Castine,ME,88.0%,2.0%,,,1.0%,8.0%,,,
University of Maine at Farmington,Farmington,ME,87.0%,2.0%,2.0%,2.0%,,6.0%,,,
MCPHS University,Boston,MA,42.0%,5.0%,7.0%,,24.0%,8.0%,13.0%,,
Central Georgia Technical College,Warner Robins,GA,43.0%,3.0%,50.0%,1.0%,1.0%,,,,
Massachusetts Institute of Technology,Cambridge,MA,37.0%,15.0%,6.0%,6.0%,25.0%,2.0%,10.0%,,
Massachusetts Maritime Academy,Buzzards Bay,MA,87.0%,4.0%,1.0%,3.0%,1.0%,4.0%,,,
Northern Michigan University,Marquette,MI,85.0%,3.0%,2.0%,2.0%,,4.0%,,2.0%,
Northland College,Ashland,WI,83.0%,5.0%,1.0%,1.0%,,3.0%,3.0%,3.0%,
Northwestern Michigan College,Traverse City,MI,87.0%,2.0%,1.0%,2.0%,1.0%,5.0%,,2.0%,
Northwestern University,Evanston,IL,48.0%,12.0%,6.0%,5.0%,17.0%,2.0%,10.0%,,
Northwood University: Michigan,Midland,MI,73.0%,3.0%,6.0%,2.0%,,8.0%,7.0%,,
Bethune-Cookman University,Daytona Beach,FL,2.0%,3.0%,79.0%,2.0%,,12.0%,2.0%,,
Roberts Wesleyan College,Rochester,NY,73.0%,5.0%,11.0%,4.0%,2.0%,2.0%,4.0%,,
Rochester Institute of Technology,Rochester,NY,67.0%,7.0%,5.0%,3.0%,8.0%,3.0%,6.0%,,
Daemen College,Amherst,NY,74.0%,7.0%,11.0%,1.0%,2.0%,2.0%,1.0%,,
Rosemont College,Rosemont,PA,38.0%,6.0%,39.0%,5.0%,3.0%,4.0%,4.0%,,
The Sage Colleges,Troy,NY,65.0%,8.0%,13.0%,3.0%,4.0%,7.0%,,,
Rockland Community College,Suffern,NY,39.0%,21.0%,20.0%,2.0%,5.0%,12.0%,1.0%,,
Robert Morris University,Moon Township,PA,73.0%,2.0%,6.0%,3.0%,1.0%,2.0%,12.0%,,
Western New England University,Springfield,MA,73.0%,8.0%,6.0%,2.0%,3.0%,4.0%,3.0%,,
Wheaton College,Norton,MA,65.0%,7.0%,6.0%,3.0%,5.0%,2.0%,12.0%,,
Wheelock College,Boston,MA,58.0%,12.0%,15.0%,4.0%,4.0%,5.0%,2.0%,,
Williams College,Williamstown,MA,53.0%,12.0%,7.0%,6.0%,13.0%,,8.0%,,
Eastern Connecticut State University,Willimantic,CT,66.0%,11.0%,8.0%,3.0%,2.0%,8.0%,,,
Worcester Polytechnic Institute,Worcester,MA,63.0%,9.0%,3.0%,3.0%,4.0%,7.0%,11.0%,,
Chester College of New England,Chester,NH,92.0%,4.0%,1.0%,,2.0%,,,1.0%,
Yale University,New Haven,CT,46.0%,12.0%,7.0%,6.0%,17.0%,,11.0%,,
Adams State University,Alamosa,CO,45.0%,35.0%,7.0%,4.0%,,4.0%,1.0%,2.0%,
Augusta Technical College,Augusta,GA,40.0%,3.0%,50.0%,3.0%,2.0%,2.0%,,,
Orange County Community College,Middletown,NY,51.0%,31.0%,13.0%,3.0%,3.0%,,,,
Onondaga Community College,Syracuse,NY,43.0%,5.0%,12.0%,3.0%,2.0%,34.0%,,1.0%,
Neumann University,Aston,PA,53.0%,5.0%,23.0%,2.0%,1.0%,14.0%,1.0%,,
Ocean County College,Toms River,NJ,72.0%,13.0%,5.0%,3.0%,2.0%,4.0%,1.0%,,
Pace University,New York,NY,48.0%,13.0%,10.0%,4.0%,9.0%,2.0%,14.0%,,
Parsons The New School for Design,New York,NY,24.0%,10.0%,4.0%,3.0%,12.0%,3.0%,45.0%,,
Penn State University Park,University Park,PA,67.0%,6.0%,4.0%,3.0%,6.0%,2.0%,12.0%,,
Cairn University,Langhorne,PA,71.0%,8.0%,13.0%,2.0%,4.0%,,2.0%,,
University of the Sciences,Philadelphia,PA,43.0%,4.0%,6.0%,2.0%,35.0%,9.0%,1.0%,,
University of the Arts,Philadelphia,PA,61.0%,9.0%,15.0%,5.0%,3.0%,1.0%,5.0%,,
Polytechnic Institute of New York University,Brooklyn,NY,30.0%,10.0%,6.0%,,35.0%,9.0%,10.0%,,
Pratt Institute,Brooklyn,NY,41.0%,10.0%,4.0%,3.0%,14.0%,,27.0%,,
Pittsburgh Institute of Aeronautics,Pittsburgh,PA,82.0%,3.0%,6.0%,4.0%,2.0%,2.0%,,,
St. Joseph's College New York: Suffolk Campus,Patchogue,NY,68.0%,11.0%,5.0%,2.0%,2.0%,12.0%,,,
Long Island University: Southampton Graduate Campus,Southampton,NY,79.0%,6.0%,7.0%,,2.0%,,6.0%,,
John F. Kennedy University,Pleasant Hill,CA,37.0%,26.0%,16.0%,4.0%,8.0%,4.0%,3.0%,2.0%,1.0%
Loyola Marymount University,Los Angeles,CA,44.0%,21.0%,6.0%,8.0%,11.0%,,10.0%,,
Los Angeles Mission College,Sylmar,CA,11.0%,76.0%,3.0%,1.0%,5.0%,2.0%,,,
Lane Community College,Eugene,OR,69.0%,10.0%,2.0%,5.0%,2.0%,9.0%,1.0%,2.0%,
Trinity Lutheran College,Everett,WA,55.0%,16.0%,14.0%,,5.0%,6.0%,,1.0%,2.0%
The Master's University,Santa Clarita,CA,66.0%,9.0%,3.0%,7.0%,6.0%,5.0%,4.0%,,
LDS Business College,Salt Lake City,UT,64.0%,12.0%,,5.0%,1.0%,,15.0%,,2.0%
Linn-Benton Community College,Albany,OR,64.0%,10.0%,1.0%,5.0%,2.0%,13.0%,3.0%,1.0%,
Northern Kentucky University,Highland Heights,KY,82.0%,3.0%,7.0%,2.0%,1.0%,,3.0%,,
North Central State College,Mansfield,OH,83.0%,1.0%,5.0%,2.0%,1.0%,7.0%,,,
Duluth Business University,Duluth,MN,94.0%,,2.0%,,,,,4.0%,
Northeast Alabama Community College,Rainsville,AL,84.0%,9.0%,2.0%,,,1.0%,,3.0%,
Northcentral Technical College,Wausau,WI,72.0%,,2.0%,,6.0%,18.0%,,2.0%,
Ohio State University: Mansfield Campus,Mansfield,OH,78.0%,3.0%,9.0%,3.0%,4.0%,2.0%,,,
Johnson & Wales University: Denver,Denver,CO,54.0%,21.0%,9.0%,8.0%,2.0%,4.0%,1.0%,,
Hawaii Tokai International College,Kapolei,HI,4.0%,1.0%,,,9.0%,,86.0%,,
Blue Mountain Community College,Pendleton,OR,68.0%,21.0%,1.0%,3.0%,,2.0%,,3.0%,
California College of the Arts,San Francisco,CA,23.0%,12.0%,6.0%,,18.0%,6.0%,35.0%,,
California Institute of Technology,Pasadena,CA,29.0%,12.0%,1.0%,6.0%,43.0%,,9.0%,,
California Maritime Academy,Vallejo,CA,53.0%,17.0%,2.0%,11.0%,10.0%,6.0%,1.0%,,
San Francisco Art Institute,San Francisco,CA,43.0%,16.0%,4.0%,9.0%,5.0%,3.0%,20.0%,,
California Polytechnic State University: San Luis Obispo,San Luis Obispo,CA,57.0%,16.0%,,7.0%,13.0%,5.0%,2.0%,,
Utah State University Eastern,Price,UT,69.0%,5.0%,,,3.0%,2.0%,,19.0%,
Carroll College,Helena,MT,80.0%,6.0%,,3.0%,1.0%,7.0%,1.0%,,
Princeton University,Princeton,NJ,44.0%,10.0%,8.0%,4.0%,21.0%,2.0%,12.0%,,
Peirce College,Philadelphia,PA,19.0%,8.0%,69.0%,,2.0%,,,,
Pennsylvania Institute of Technology,Media,PA,16.0%,3.0%,56.0%,2.0%,1.0%,21.0%,,,
Herkimer County Community College,Herkimer,NY,76.0%,5.0%,11.0%,1.0%,1.0%,1.0%,3.0%,,
Harrison College: Indianapolis,Indianapolis,IN,59.0%,2.0%,16.0%,4.0%,,19.0%,,,
Immaculata University,Immaculata,PA,73.0%,6.0%,15.0%,2.0%,2.0%,1.0%,,,
Felician University,Lodi,NJ,29.0%,30.0%,23.0%,,5.0%,9.0%,2.0%,,
Iona College,New Rochelle,NY,56.0%,23.0%,10.0%,2.0%,2.0%,4.0%,3.0%,,
Benedictine University,Lisle,IL,45.0%,12.0%,9.0%,,16.0%,16.0%,,,
School of the Art Institute of Chicago,Chicago,IL,35.0%,11.0%,3.0%,3.0%,11.0%,5.0%,32.0%,,
Lake Forest College,Lake Forest,IL,58.0%,16.0%,6.0%,3.0%,6.0%,3.0%,8.0%,,
Lambuth University,Jackson,TN,67.0%,1.0%,27.0%,,1.0%,,3.0%,,
Lane College,Jackson,TN,,,83.0%,,,15.0%,,,
Lakeshore Technical College,Cleveland,WI,87.0%,3.0%,1.0%,3.0%,5.0%,,,,
Illinois Valley Community College,Oglesby,IL,82.0%,7.0%,3.0%,4.0%,1.0%,2.0%,,,
Baton Rouge Community College,Baton Rouge,LA,39.0%,3.0%,44.0%,2.0%,2.0%,7.0%,2.0%,,
Goldfarb School of Nursing at Barnes-Jewish College,St. Louis,MO,79.0%,2.0%,6.0%,2.0%,2.0%,7.0%,,,
Harrison College: Lafayette,Lafayette,IN,84.0%,4.0%,3.0%,,,7.0%,,,
Little Priest Tribal College,Winnebago,NE,2.0%,3.0%,7.0%,,,,,88.0%,
Lurleen B. Wallace Community College,Andalusia,AL,71.0%,1.0%,25.0%,2.0%,,,,,
MacMurray College,Jacksonville,IL,76.0%,5.0%,12.0%,2.0%,,4.0%,,,
Madonna University,Livonia,MI,61.0%,5.0%,12.0%,3.0%,1.0%,3.0%,16.0%,,
Manchester University,North Manchester,IN,77.0%,6.0%,7.0%,4.0%,2.0%,,4.0%,,
Marian University,Indianapolis,IN,73.0%,5.0%,12.0%,3.0%,2.0%,4.0%,1.0%,,
MedCentral College of Nursing,Mansfield,OH,95.0%,1.0%,2.0%,,1.0%,,,,
Marian University,Fond du Lac,WI,81.0%,6.0%,6.0%,,,2.0%,2.0%,,
Marietta College,Marietta,OH,67.0%,2.0%,5.0%,3.0%,1.0%,4.0%,17.0%,,
Indiana Wesleyan University,Marion,IN,82.0%,4.0%,3.0%,3.0%,1.0%,5.0%,,,
Marion Military Institute,Marion,AL,59.0%,11.0%,18.0%,5.0%,5.0%,,,,
Millikin University,Decatur,IL,71.0%,6.0%,14.0%,4.0%,1.0%,1.0%,2.0%,,
Millsaps College,Jackson,MS,71.0%,4.0%,14.0%,,4.0%,3.0%,4.0%,,
University of Wisconsin-Milwaukee,Milwaukee,WI,67.0%,10.0%,8.0%,4.0%,7.0%,,4.0%,,
Milwaukee Area Technical College,Milwaukee,WI,41.0%,13.0%,30.0%,3.0%,5.0%,6.0%,,,
Milwaukee School of Engineering,Milwaukee,WI,67.0%,5.0%,2.0%,2.0%,4.0%,8.0%,11.0%,,
College of Biblical Studies-Houston,Houston,TX,16.0%,27.0%,51.0%,3.0%,1.0%,,,,
Heartland Community College,Normal,IL,69.0%,7.0%,13.0%,5.0%,1.0%,4.0%,,,
University of Southern Mississippi,Hattiesburg,MS,61.0%,3.0%,29.0%,2.0%,1.0%,,2.0%,,
Mississippi State University,Mississippi State,MS,72.0%,3.0%,20.0%,2.0%,1.0%,,1.0%,,
St. Elizabeth College of Nursing,Utica,NY,89.0%,2.0%,3.0%,2.0%,3.0%,,2.0%,,
University of Mobile,Mobile,AL,,3.0%,19.0%,16.0%,,54.0%,4.0%,,3.0%
Rochester College,Rochester Hills,MI,52.0%,2.0%,16.0%,2.0%,2.0%,23.0%,3.0%,,
Ohio Technical College,Cleveland,OH,71.0%,11.0%,12.0%,3.0%,1.0%,,,1.0%,
Platt College: San Diego,San Diego,CA,31.0%,27.0%,11.0%,11.0%,13.0%,6.0%,,,
Bishop State Community College,Mobile,AL,28.0%,2.0%,63.0%,2.0%,2.0%,,3.0%,1.0%,
MacCormac College,Chicago,IL,26.0%,9.0%,60.0%,1.0%,2.0%,,,,
Macomb Community College,Warren,MI,69.0%,3.0%,11.0%,2.0%,5.0%,8.0%,2.0%,,
Montcalm Community College,Sidney,MI,89.0%,1.0%,,2.0%,,7.0%,,,
Moraine Valley Community College,Palos Hills,IL,51.0%,23.0%,10.0%,2.0%,2.0%,9.0%,2.0%,,
McHenry County College,Crystal Lake,IL,71.0%,16.0%,2.0%,3.0%,2.0%,6.0%,,,
Cornerstone University,Grand Rapids,MI,77.0%,4.0%,13.0%,,1.0%,,3.0%,,
Grand Rapids Community College,Grand Rapids,MI,68.0%,12.0%,9.0%,3.0%,4.0%,3.0%,,,
York County Community College,Wells,ME,88.0%,3.0%,1.0%,2.0%,2.0%,3.0%,,,
Chandler-Gilbert Community College,Chandler,AZ,50.0%,24.0%,5.0%,2.0%,5.0%,11.0%,,2.0%,
Greenville College,Greenville,IL,68.0%,5.0%,11.0%,,1.0%,10.0%,3.0%,,
